App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6009751,HDR,10/19/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005308,HDR,09/02/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6009160,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008187,HDR,10/03/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5997697,HDR,06/04/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6006818,HDR,09/19/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6005519,HDR,09/05/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5990712,HDR,02/22/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6007544,HDR,09/27/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6007944,HDR,09/30/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007818,HDR,09/29/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006350,HDR,09/14/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6009410,HDR,10/15/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008808,HDR,10/10/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009153,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005772,HDR,09/08/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6008332,HDR,10/04/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
