id,status,coordinates/0,coordinates/1,coordinates/2,requestDate,installDate,roofAccess,notes,panoramas/0,name,panoramas/1,panoramas/2,panoramas/3,panoramas/4,panoramas/5,panoramas/6,panoramas/7,panoramas/8,panoramas/9
2,Installed,-73.9291817,40.7686554,37,1426436311615,1627185600000,false,Peter,2.jpg,,,,,,,,,,
3,Installed,-73.987881,40.724868,27,1426436311615,1413259200000,false,Hub: LiteBeamLR to SN1 plus kiosk failover,3.jpg,Brian,3a.jpg,3b.jpg,,,,,,,
4,Interested,-73.9649248,40.6970479,38,1426799281289,,true,,,,,,,,,,,,
5,Interested,-74.0058924,40.7074594,133,1427232396127,,false,,,,,,,,,,,,
6,Installation Scheduled,-74.00084559999999,40.6548906,20,1427322174567,,true,,,,,,,,,,,,
7,Installed,-73.988123,40.72439,28,1427322174567,1413259200000,true,DBA bar,,,,,,,,,,,
10,Installed,-74.0031106,40.7414291,95,1428255931797,1645592400000,false,POP - no antenna,,111 8th POP,,,,,,,,,
13,No Reply,-73.9802103,40.7805678,-1,1428260773401,,false,,,,,,,,,,,,
15,Interested,-73.9475928,40.7103734,22,1428268274455,,false,,,,,,,,,,,,
16,Interested,-74.0032029,40.7413549,95,1428268293614,,true,,,,,,,,,,,,
17,Interested,-73.9212858,40.6944282,74,1428350681862,,false,,,,,,,,,,,,
18,NN assigned,-73.9583001,40.6568041,46,1428418391269,,false,Omni,,,,,,,,,,,
19,Installed,-73.984541,40.7203976,29,1428678488881,1441425600000,false,Omni,19.jpg,,,,,,,,,,
20,Interested,-73.9484367,40.6821509,28,1429296712412,,true,,,,,,,,,,,,
21,No Reply,-73.9233096,40.6872121,31,1429476550424,,false,,,,,,,,,,,,
22,No Reply,-73.951071,40.675506,48,1429799802754,,false,,,,,,,,,,,,
24,Interested,-73.9181882,40.7654041,-2,1430342691761,,true,,,,,,,,,,,,
25,Interested,-73.8114993,40.5867247,-2,1430679449910,,true,"multiple locations, ",,,,,,,,,,,
26,Interested,-73.978279,40.713356,-2,1430888466667,,false,,,,,,,,,,,,
28,Installed,-73.956822,40.8050482,75,1430914430408,1433044800000,false,rem,,,,,,,,,,,
29,No Reply,-73.984455,40.685389,-1,1430962372471,,true,,,,,,,,,,,,
30,Interested,-73.9629831,40.7187884,19,1431094948363,,true,,30.jpg,,30a.jpg,30b.jpg,,,,,,,
31,Interested,-73.9682222,40.7077294,13,1431891206261,,true,,,,,,,,,,,,
32,No Reply,-73.954028,40.6650336,50,1432909094906,,false,,,,,,,,,,,,
33,Interested,-73.9129017,40.7651029,38,1432913719923,,false,,,,,,,,,,,,
34,Interested,-74.03381499999999,40.6240302,40,1432914157028,,true,,,,,,,,,,,,
37,No Reply,-73.9536679,40.676096,38,1432915300964,,false,,,,,,,,,,,,
