id,coordinates/0,coordinates/1,status
LINK-000001,-73.94209,40.70099,active
LINK-000002,-73.94248859,40.70166753,active
LINK-000003,-73.94216928,40.70154219,active
LINK-000004,-73.94223924,40.70193034,active
LINK-000005,-73.94291758,40.70506042,active
LINK-000008,-73.93844701,40.69887623,active
LINK-000010,-73.93893235,40.69895576,active
LINK-000019,-73.95592439,40.64066623,active
LINK-000022,-73.95360324,40.63855961,active
LINK-000025,-73.94678067,40.63213478,active
LINK-000027,-73.953439,40.728133,active
LINK-000029,-73.95786908,40.71777024,installed
LINK-000031,-73.98193577,40.67455551,active
LINK-000032,-73.97973799,40.67761961,active
LINK-000034,-73.97406,40.679568,active
LINK-000035,-73.97437146,40.67963858,active
LINK-000036,-73.97325278,40.67845279,active
LINK-000039,-73.990353,40.664176,active
LINK-000040,-73.98695629,40.66853323,active
LINK-000041,-73.986317,40.669018,active
LINK-000042,-73.98595804,40.66973105,active
LINK-000043,-73.982789,40.673534,active
LINK-000044,-73.977006,40.683625,active
LINK-000045,-73.980613,40.688851,active
LINK-000046,-73.98086659,40.68521833,active
LINK-000047,-73.98496961,40.68681157,active
LINK-000049,-73.99314691,40.6879008,active
LINK-000051,-73.9945262,40.68538976,active
LINK-000052,-73.99575348,40.68248292,active
LINK-000054,-73.99002262,40.6874966,active
LINK-000056,-73.98042355,40.68764898,active
LINK-000064,-73.90457508,40.86311405,active
LINK-000067,-73.89305944,40.86021467,active
LINK-000070,-73.90324404,40.86264365,active
LINK-000072,-73.898023,40.861349,active
LINK-000074,-73.89858091,40.86165512,active
LINK-000076,-73.89855259,40.85915372,active
LINK-000077,-73.90454701,40.86285548,active
LINK-000087,-73.89952057,40.86208577,active
LINK-000090,-73.89182996,40.86199332,active
LINK-000092,-73.98336787,40.76582962,active
LINK-000108,-73.98185929,40.76700781,active
LINK-000111,-73.98198781,40.76617479,active
LINK-000114,-73.98920582,40.74320284,active
LINK-000116,-73.98901592,40.74424305,active
LINK-000120,-73.98867089,40.74512705,active
LINK-000130,-73.988399,40.746624,active
LINK-000134,-73.9881009,40.74813894,active
LINK-000141,-73.98808378,40.74972091,active
LINK-000146,-73.98757374,40.75233922,active
LINK-000151,-73.98738603,40.75305908,active
LINK-000155,-73.98693515,40.75449299,active
LINK-000158,-73.98635944,40.75485087,active
LINK-000162,-73.9845408,40.76041294,active
LINK-000163,-73.9848567,40.76026604,active
LINK-000164,-73.98446631,40.76064069,active
LINK-000165,-73.98428289,40.76063217,active
LINK-000166,-73.98463363,40.7607176,active
LINK-000168,-73.98427739,40.76088277,active
LINK-000173,-73.9830769,40.7625933,active
LINK-000177,-73.98262883,40.76397808,active
LINK-000178,-73.98230856,40.76412672,active
LINK-000180,-73.98236264,40.76467196,active
LINK-000182,-73.98212946,40.76534122,active
LINK-000184,-73.98821846,40.74853941,active
LINK-000185,-73.98779173,40.75009208,active
LINK-000186,-73.98873983,40.73414765,active
LINK-000189,-73.98941209,40.73414056,active
LINK-000190,-73.99342438,40.73611052,active
LINK-000191,-73.99684066,40.73756051,active
LINK-000193,-73.99360102,40.73620058,active
LINK-000194,-73.98977798,40.73412708,active
LINK-000198,-73.99831928,40.73807416,active
LINK-000199,-74.0009461,40.73899661,active
LINK-000202,-73.99993241,40.73857046,active
LINK-000203,-73.998106,40.737805,active
LINK-000205,-73.99947574,40.73866726,active
LINK-000206,-73.99792058,40.73790583,active
LINK-000213,-74.00400454,40.74302673,active
LINK-000214,-73.9923767,40.73803969,active
LINK-000218,-74.00416971,40.74280314,active
LINK-000220,-73.99526424,40.73933558,active
LINK-000221,-73.99547509,40.73943218,active
LINK-000223,-73.987162,40.733107,active
LINK-000224,-73.98704351,40.73369379,active
LINK-000225,-73.987384,40.73347,active
LINK-000226,-73.98688143,40.73391885,active
LINK-000227,-73.98663439,40.73384075,active
LINK-000228,-73.98665825,40.73422211,active
LINK-000230,-73.98617513,40.73447281,active
LINK-000231,-73.980628,40.742625,active
LINK-000232,-73.9763443,40.74838329,active
LINK-000233,-73.97653468,40.74828704,active
LINK-000235,-73.96912972,40.75827505,active
LINK-000238,-73.986488,40.734031,active
LINK-000240,-73.982889,40.739531,active
LINK-000241,-73.98625935,40.73476963,active
LINK-000242,-73.98584567,40.73534819,active
LINK-000243,-73.985322,40.735626,active
LINK-000246,-73.98389,40.737597,active
LINK-000251,-73.97408803,40.75071654,active
LINK-000252,-73.96717705,40.76020693,active
LINK-000253,-73.9849,40.736214,active
LINK-000254,-73.985171,40.735839,active
LINK-000256,-73.98512348,40.73633169,active
LINK-000257,-73.98474973,40.73642647,active
LINK-000258,-73.984486,40.736789,active
LINK-000264,-73.982489,40.739528,active
LINK-000266,-73.98242356,40.74004081,active
LINK-000267,-73.98203484,40.7399752,active
LINK-000269,-73.982383,40.740246,active
LINK-000270,-73.98198848,40.74021823,active
LINK-000272,-73.981729,40.740573,active
LINK-000273,-73.981576,40.740775,active
LINK-000274,-73.98173228,40.74098927,active
