"Series";"Time";"Value"
"net.Recv {interface: eth2}";"2022-10-21T09:35:00-04:00";157,050,153
"net.Recv {interface: eth2}";"2022-10-21T09:35:10-04:00";142,542,413
"net.Recv {interface: eth2}";"2022-10-21T09:35:20-04:00";165,884,495
"net.Recv {interface: eth2}";"2022-10-21T09:35:30-04:00";177,807,614
"net.Recv {interface: eth2}";"2022-10-21T09:35:40-04:00";95,734,386
"net.Recv {interface: eth2}";"2022-10-21T09:35:50-04:00";89,196,360
"net.Recv {interface: eth2}";"2022-10-21T09:36:00-04:00";87,316,744
"net.Recv {interface: eth2}";"2022-10-21T09:36:10-04:00";108,999,334
"net.Recv {interface: eth2}";"2022-10-21T09:36:20-04:00";88,952,506
"net.Recv {interface: eth2}";"2022-10-21T09:36:30-04:00";75,751,513
"net.Recv {interface: eth2}";"2022-10-21T09:36:40-04:00";62,467,954
"net.Recv {interface: eth2}";"2022-10-21T09:36:50-04:00";114,454,257
"net.Recv {interface: eth2}";"2022-10-21T09:37:00-04:00";97,506,112
"net.Recv {interface: eth2}";"2022-10-21T09:37:10-04:00";78,123,713
"net.Recv {interface: eth2}";"2022-10-21T09:37:20-04:00";87,522,333
"net.Recv {interface: eth2}";"2022-10-21T09:37:30-04:00";88,058,207
"net.Recv {interface: eth2}";"2022-10-21T09:37:40-04:00";104,893,731
"net.Recv {interface: eth2}";"2022-10-21T09:37:50-04:00";146,432,579
"net.Recv {interface: eth2}";"2022-10-21T09:38:00-04:00";136,590,935
"net.Recv {interface: eth2}";"2022-10-21T09:38:10-04:00";122,006,649
"net.Recv {interface: eth2}";"2022-10-21T09:38:20-04:00";186,984,344
"net.Recv {interface: eth2}";"2022-10-21T09:38:30-04:00";89,427,111
"net.Recv {interface: eth2}";"2022-10-21T09:38:40-04:00";130,183,769
"net.Recv {interface: eth2}";"2022-10-21T09:38:50-04:00";88,189,808
"net.Recv {interface: eth2}";"2022-10-21T09:39:00-04:00";93,719,972
"net.Recv {interface: eth2}";"2022-10-21T09:39:10-04:00";84,779,158
"net.Recv {interface: eth2}";"2022-10-21T09:39:20-04:00";119,256,533
"net.Recv {interface: eth2}";"2022-10-21T09:39:30-04:00";115,654,902
"net.Recv {interface: eth2}";"2022-10-21T09:39:40-04:00";116,057,703
"net.Recv {interface: eth2}";"2022-10-21T09:39:50-04:00";69,077,883
"net.Recv {interface: eth2}";"2022-10-21T09:40:00-04:00";121,826,886
"net.Recv {interface: eth2}";"2022-10-21T09:40:10-04:00";77,404,561
"net.Recv {interface: eth2}";"2022-10-21T09:40:20-04:00";93,333,816
"net.Recv {interface: eth2}";"2022-10-21T09:40:30-04:00";111,076,539
"net.Recv {interface: eth2}";"2022-10-21T09:40:40-04:00";77,964,044
"net.Recv {interface: eth2}";"2022-10-21T09:40:50-04:00";95,544,658
"net.Recv {interface: eth2}";"2022-10-21T09:41:00-04:00";73,339,197
"net.Recv {interface: eth2}";"2022-10-21T09:41:10-04:00";79,500,080
"net.Recv {interface: eth2}";"2022-10-21T09:41:20-04:00";68,958,450
"net.Recv {interface: eth2}";"2022-10-21T09:41:30-04:00";67,621,032
"net.Recv {interface: eth2}";"2022-10-21T09:41:40-04:00";90,444,234
"net.Recv {interface: eth2}";"2022-10-21T09:41:50-04:00";77,318,372
"net.Recv {interface: eth2}";"2022-10-21T09:42:00-04:00";67,766,112
"net.Recv {interface: eth2}";"2022-10-21T09:42:10-04:00";89,955,403
"net.Recv {interface: eth2}";"2022-10-21T09:42:20-04:00";70,819,956
"net.Recv {interface: eth2}";"2022-10-21T09:42:30-04:00";107,551,446
"net.Recv {interface: eth2}";"2022-10-21T09:42:40-04:00";89,649,438
"net.Recv {interface: eth2}";"2022-10-21T09:42:50-04:00";88,171,329
"net.Recv {interface: eth2}";"2022-10-21T09:43:00-04:00";97,706,621
"net.Recv {interface: eth2}";"2022-10-21T09:43:10-04:00";154,258,747
"net.Recv {interface: eth2}";"2022-10-21T09:43:20-04:00";148,552,962
"net.Recv {interface: eth2}";"2022-10-21T09:43:30-04:00";200,816,080
"net.Recv {interface: eth2}";"2022-10-21T09:43:40-04:00";141,668,232
"net.Recv {interface: eth2}";"2022-10-21T09:43:50-04:00";135,736,404
"net.Recv {interface: eth2}";"2022-10-21T09:44:00-04:00";164,450,686
"net.Recv {interface: eth2}";"2022-10-21T09:44:10-04:00";182,269,121
"net.Recv {interface: eth2}";"2022-10-21T09:44:20-04:00";156,237,720
"net.Recv {interface: eth2}";"2022-10-21T09:44:30-04:00";174,920,215
"net.Recv {interface: eth2}";"2022-10-21T09:44:40-04:00";136,551,160
"net.Recv {interface: eth2}";"2022-10-21T09:44:50-04:00";133,969,166
"net.Recv {interface: eth2}";"2022-10-21T09:45:00-04:00";199,122,268
"net.Recv {interface: eth2}";"2022-10-21T09:45:10-04:00";170,843,955
"net.Recv {interface: eth2}";"2022-10-21T09:45:20-04:00";158,948,976
"net.Recv {interface: eth2}";"2022-10-21T09:45:30-04:00";141,921,515
"net.Recv {interface: eth2}";"2022-10-21T09:45:40-04:00";157,107,236
"net.Recv {interface: eth2}";"2022-10-21T09:45:50-04:00";157,611,822
"net.Recv {interface: eth2}";"2022-10-21T09:46:00-04:00";134,454,239
"net.Recv {interface: eth2}";"2022-10-21T09:46:10-04:00";152,769,507
"net.Recv {interface: eth2}";"2022-10-21T09:46:20-04:00";124,630,740
"net.Recv {interface: eth2}";"2022-10-21T09:46:30-04:00";98,141,002
"net.Recv {interface: eth2}";"2022-10-21T09:46:40-04:00";114,476,490
"net.Recv {interface: eth2}";"2022-10-21T09:46:50-04:00";162,831,154
"net.Recv {interface: eth2}";"2022-10-21T09:47:00-04:00";263,556,473
"net.Recv {interface: eth2}";"2022-10-21T09:47:10-04:00";253,480,948
"net.Recv {interface: eth2}";"2022-10-21T09:47:20-04:00";234,322,942
"net.Recv {interface: eth2}";"2022-10-21T09:47:30-04:00";250,888,073
"net.Recv {interface: eth2}";"2022-10-21T09:47:40-04:00";175,872,556
"net.Recv {interface: eth2}";"2022-10-21T09:47:50-04:00";69,661,908
"net.Recv {interface: eth2}";"2022-10-21T09:48:00-04:00";90,730,247
"net.Recv {interface: eth2}";"2022-10-21T09:48:10-04:00";145,933,663
"net.Recv {interface: eth2}";"2022-10-21T09:48:20-04:00";69,389,000
"net.Recv {interface: eth2}";"2022-10-21T09:48:30-04:00";71,735,941
"net.Recv {interface: eth2}";"2022-10-21T09:48:40-04:00";86,114,613
"net.Recv {interface: eth2}";"2022-10-21T09:48:50-04:00";95,103,274
"net.Recv {interface: eth2}";"2022-10-21T09:49:00-04:00";66,142,107
"net.Recv {interface: eth2}";"2022-10-21T09:49:10-04:00";84,840,354
"net.Recv {interface: eth2}";"2022-10-21T09:49:20-04:00";60,771,240
"net.Recv {interface: eth2}";"2022-10-21T09:49:30-04:00";62,529,318
"net.Recv {interface: eth2}";"2022-10-21T09:49:40-04:00";88,983,615
"net.Recv {interface: eth2}";"2022-10-21T09:49:50-04:00";74,069,913
"net.Recv {interface: eth2}";"2022-10-21T09:50:00-04:00";88,474,183
"net.Recv {interface: eth2}";"2022-10-21T09:50:10-04:00";84,514,704
"net.Recv {interface: eth2}";"2022-10-21T09:50:20-04:00";127,921,225
"net.Recv {interface: eth2}";"2022-10-21T09:50:30-04:00";106,157,130
"net.Recv {interface: eth2}";"2022-10-21T09:50:40-04:00";96,189,924
